,GW-34,Facklamia,Anaerostipes,Thioalkalivibrio,Fusibacter,CandidatusAzobacteroides,SMB53,Turicibacter,Tannerella,Desulfovibrio,Blvii28,Pseudomonas,Megamonas,Euzebya,Sufflavibacter,Ruminococcus,Succiniclasticum,Bacteroides,Epulopiscium,Corynebacterium,Thermacetogenium,Veillonella,Shuttleworthia,Prevotella,Gemella,Blautia,Bacillus,Serratia,Staphylococcus,Krokinobacter,Moryella,HB2-32-21,Clostridium,Caloramator,Dialister,Rikenella,Haemophilus,cc_115,Methanobrevibacter,Pectinatus,Peptococcus,Mogibacterium,Oribacterium,Coriobacterium,Coprobacillus,Anaerofilum,Roseburia,Odoribacter,Coprococcus,Thiobacillus,CF231,Papillibacter,Methylibium,Akkermansia,Porphyromonas,C39,Acidaminococcus,Eggerthella,Megasphaera,Wohlfahrtiimonas,Adlercreutzia,Lactobacillus,Bifidobacterium,Lachnospira,Oscillospira,Caldicoprobacter,Collinsella,Hylemonella,Propionibacterium,Actinomyces,Lautropia,Dorea,Paludibacter,Streptococcus,vadinHB04,Comamonas,BF311,Sporomusa,Desulfotomaculum,Bilophila,Mannheimia,Sutterella,Atopobium,Parabacteroides,Methylobacillus,Limnohabitans,Holdemania,Parvimonas,Anaerovorax,Dysgonomonas,Paraprevotella,Anaerotruncus,Phascolarctobacterium,Butyricimonas,Slackia,Ethanoligenens,Eubacterium,Butyrivibrio,Anaerovibrio,Hafnia,Klebsiella,PW3,Peptoniphilus,Lachnobacterium,Granulicatella,02d06,5-7N15,Barnesiella,Faecalibacterium,Pelosinus,Marvinbryantia,Pseudobutyrivibrio,Janthinobacterium,Enterobacter,Aggregatibacter,Nesterenkonia,Succinispira,Pseudoramibacter_Eubacterium,Friedmanniella,Kordia,Allobaculum,Anaerococcus,Morganella,Enterococcus,CandidatusPhlomobacter,Psychroflexus,Methanomassiliicoccus,Gallionella,Catenibacterium,Lactococcus,Dehalobacterium,Thiomonas,Butyricicoccus,Gracilibacter,Citrobacter,YRC22,Desulfosporosinus,Sarcina,Alkaliphilus,rc4-4,Solibacillus,Actinobacillus,1-68,Alistipes,Propionispora,Tepidibacter,Ramlibacter,Syntrophococcus,Succinatimonas,Streptomyces,Paenibacillus,Dok59,Peptostreptococcus,Mobiluncus,Rothia,Catonella,Chlorobium,Macrococcus,Sulfurospirillum,Succinivibrio,Robinsoniella,Anaerofustis,Sporobacter,Erwinia,CandidatusHamiltonella,Lysinibacillus,gut,Treponema,Citrullus,Acholeplasma,Cronobacter,Sharpea,Ureibacillus,Victoria,Jeotgalicoccus,Prauserella,Bulleidia,Anaerobaculum,Demequina,Desulfurispora,Ruminofilibacter,Mariprofundus,RFN20,Bombiscardovia,Melissococcus,Microbacterium,Olivibacter,Leptotrichia,Nocardia,Vagococcus,Gardnerella,Anaeroplasma,Synergistes,Brevibacterium,Kurthia,Tepidimicrobium,Trabulsiella,Kocuria,Meiothermus,Trichococcus,Roseiflexus,Syntrophomonas,Sulfuritalea,Rhodococcus,Salmonella,Fusobacterium,Halanaerobacter,Gloeobacter,Campylobacter,Massilia,Leuconostoc,Sphingobacterium,Salinispora,Victivallis,Filifactor,Selenomonas,Dermacoccus,CandidatusPortiera,Sedimentibacter,Rummeliibacillus,WH1-8,Finegoldia,Cloacibacillus,Brackiella,Virgibacillus,Thermosinus,Aerococcus,Christensenella,AF12,CandidatusRhodoluna,Dechloromonas,Moorella,Litorilinea,Hespellia,Yersinia,Thermobaculum,Saccharomonospora,Sanguibacter,Exiguobacterium,Sporotomaculum,Cellulosibacter,Xenorhabdus,Flexibacter,Mycobacterium,Oenococcus,Vibrio,Neisseria,Eikenella,Haloplasma,Anaerobacillus,Plesiomonas,Thiothrix,Leucobacter,Caldicellulosiruptor,Dethiosulfatibacter,Hydrogenophaga,Alloscardovia,Oxalobacter,E6,Nitrosococcus,Mycoplasma,Pontibacter,PSB-M-3,Sporosarcina,vadinCA02,Proteiniborus,Burkholderia,Acidovorax,Azoarcus,Zamia,Oligella,Thiopilula,Wautersiella,Edwardsiella,Escherichia,Opitutus,Acinetobacter,Pseudoalteromonas,Moraxella,Samsonia,Brenneria,Buchnera,Shigella,Gluconacetobacter,Sodalis,Aquamonas,Salinicoccus,Shewanella,Proteus,Salinivibrio,Providencia,Baumannia,Hahella,Alishewanella,Dickeya,Sediminibacterium,Alcanivorax,Pragia,Abiotrophia,Raoultella,Marinobacter,Photorhabdus,Pantoea,Cardiobacterium,Pseudidiomarina,Clostridiisalibacter,Pseudoxanthomonas,Gallibacterium,Caloranaerobacter,Chitinophaga,Garciella,Necropsobacter,Polaribacter,Kleidoceria,Methanobacterium,Glaciecola,Dehalobacter_Syntrophobotulus,Ellin506
10,0.0070180364,,0.2315951997,,0.0070180364,,0.336865745,0.0350901818,0.0350901818,,0.0210541091,,0.1543967998,,0.0070180364,6.3864130816,0.0070180364,22.457716331,,,,0.0350901818,0.0912344726,26.4930872342,0.0070180364,2.8072145414,0.0421082181,,0.0070180364,0.0070180364,,,0.5052986174,,3.4879640677,,0.0140360727,0.0210541091,0.0140360727,0.0421082181,0.0631623272,0.0070180364,,,0.0421082181,0.1403607271,0.9965611622,0.1614148361,3.3476033406,,0.0631623272,,,0.0491262545,0.0210541091,,,,0.0421082181,,0.0280721454,0.0210541091,1.3053547617,4.4213629027,2.1685732332,0.0070180364,0.6737314899,,,0.0210541091,,1.1579759983,0.0140360727,0.5052986174,,,,0.0070180364,,0.0350901818,,1.0948136711,,2.4492946873,,,,0.0140360727,,0.119306618,2.2527896695,0.0070180364,0.0631623272,0.3298477086,,,1.508877816,0.0631623272,0.0070180364,,0.0210541091,0.0421082181,,0.119306618,,0.0140360727,0.0842164362,0.0070180364,12.8640606358,,0.0140360727,0.0070180364,,,,,,,,,0.0070180364,,,0.0210541091,,,,,,0.0070180364,0.0140360727,,,,,0.0070180364,0.0070180364,0.0070180364,,,,,,0.1614148361,,,,0.0140360727,0.0140360727,0.0070180364,,,,,,0.0070180364,,,,,,,,0.0140360727,0.0210541091,0.0070180364,,,,,,,,,,,0.0210541091,0.0070180364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0070180364,0.0070180364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,0.2215359828,,,,0.3759398496,0.0604189044,0.0268528464,,0.033566058,,0.1879699248,,0.0067132116,6.5386680988,0.0067132116,21.6366809882,,0.0067132116,,0.0201396348,0.0939849624,26.2486573577,,2.6785714286,0.0268528464,0.0067132116,0.0201396348,0.0067132116,0.0067132116,,0.6444683136,,3.7593984962,,0.033566058,,0.0134264232,0.0537056928,0.0268528464,0.0067132116,,,0.0738453276,0.100698174,0.8391514501,0.2081095596,3.2827604726,,0.0134264232,,0.0067132116,0.0268528464,0.0067132116,,,,0.067132116,,0.0134264232,0.0201396348,1.2755102041,4.5582706767,2.3630504834,,0.7585929108,,,,,1.0808270677,0.0268528464,0.6511815252,,,,,,0.0537056928,,1.2218045113,0.0067132116,2.3294844253,,0.0067132116,0.0067132116,,,0.1275510204,2.1348012889,0.0134264232,0.0805585392,0.3423737916,0.0402792696,0.0201396348,1.5776047261,0.0872717508,,0.0067132116,0.0067132116,0.033566058,,0.134264232,,0.0134264232,0.134264232,0.0067132116,13.0907626208,0.0067132116,0.0067132116,,0.0067132116,0.0067132116,,,,,,,,,,0.0067132116,,,,,,0.0067132116,0.0134264232,,,,0.0067132116,0.0134264232,,,,,,,,0.2282491944,,,,0.0067132116,,,,,,,,,0.0067132116,,,,,,,0.0067132116,,,,,,,,,,,,,0.0469924812,,,,,,,,,,,,,,,,,,,,,,,0.0067132116,,,,,,,,,,,,,,,0.0067132116,,,,,,,,,,,,,,0.0134264232,0.0067132116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,0.0056022409,0.218487395,,,0.0056022409,0.3585434174,0.0672268908,0.0784313725,,0.0168067227,,0.1512605042,,0.0056022409,6.3865546218,,21.2829131653,0.0056022409,0.0112044818,,0.056022409,0.0504201681,26.268907563,,2.918767507,0.0728291317,,0.0168067227,0.0112044818,0.0056022409,,0.6610644258,0.0056022409,4.3081232493,,0.0280112045,0.0056022409,0.0056022409,0.0280112045,0.0448179272,0.0056022409,0.0168067227,,0.0952380952,0.1120448179,0.9299719888,0.1848739496,3.4509803922,,0.0112044818,,,0.0392156863,0.0112044818,,,,0.0840336134,,0.0448179272,,1.4565826331,4.1176470588,2.2016806723,,0.6554621849,,,0.0112044818,,1.2661064426,0.0056022409,0.649859944,,,,0.0056022409,,0.0392156863,,1.1484593838,0.0056022409,2.3865546218,0.0056022409,,0.0056022409,0.0056022409,,0.1512605042,2.0672268908,0.0112044818,0.0336134454,0.380952381,0.0224089636,0.0280112045,1.4453781513,0.0728291317,,,0.0056022409,0.0672268908,,0.1400560224,,0.0056022409,0.1120448179,0.0056022409,13.137254902,,,,,,,,,,0.0112044818,,0.0056022409,,,0.0168067227,,,,,,0.0056022409,,0.0056022409,,,,0.0056022409,,,,,,,,0.1568627451,,,,0.0056022409,,,,,,,,,0.0056022409,,,0.0056022409,,,,,,0.0056022409,,,,,0.0056022409,,,,,,0.0112044818,0.0056022409,,,,,,,,,,,,,,,,,,,,,,,0.0056022409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0056022409,0.0056022409,0.0056022409,0.0056022409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0053798149,0.0107596299,0.1936733376,,0.0053798149,,0.3981063051,0.0753174091,0.0484183344,0.0053798149,0.0161394448,,0.0860770389,,0.0215192597,6.8485044114,0.0053798149,21.2341295459,,0.0053798149,,0.0645577792,0.0753174091,26.0867226167,,2.7759845061,0.0537981493,,0.0107596299,0.0107596299,,,0.6294383473,,4.5782225091,,0.0215192597,,,0.0268990747,0.0699375941,0.0053798149,0.0107596299,,0.1022164838,0.1237357435,0.9253281687,0.1129761136,3.1902302561,,0.0376587045,,,0.0322788896,0.0322788896,,,,0.0322788896,,0.0753174091,0.0161394448,1.4902087368,3.9487841618,2.04970949,0.0053798149,0.6617172369,,,0.0107596299,0.0107596299,1.3180546589,0.0322788896,0.656337422,,0.0053798149,,,,0.0591779643,,1.0544437271,0.0053798149,2.0120507855,,0.0053798149,0.0053798149,,,0.1183559286,2.211103938,0.0053798149,0.0322788896,0.4142457499,0.0215192597,0.0322788896,1.5332472563,0.0753174091,,,,0.0268990747,0.0053798149,0.1237357435,,,0.1829137078,,13.4226382612,,,0.0053798149,0.0053798149,,,0.0053798149,,,,0.0107596299,0.0053798149,,,0.0215192597,0.0053798149,,,,,,,0.0053798149,,,0.0107596299,0.0053798149,0.0053798149,,,0.0053798149,,,,0.1990531526,,,,0.0107596299,,,0.0053798149,,0.0053798149,,,,,,,,,,,,,0.0107596299,,,,,,,,,,,0.0161394448,,,,,0.0053798149,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0107596299,,,,,,,0.0053798149,,,,,0.0053798149,,,,0.0053798149,,,,0.0053798149,,,,,0.0053798149,0.0053798149,0.0053798149,0.0053798149,0.0053798149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,0.2177858439,,,0.0155561317,0.6844697952,,0.0414830179,0.0103707545,0.0414830179,,0.0725952813,,,4.9053668654,,19.517759917,,0.0103707545,,0.1140782992,0.2385273529,20.1140782992,,1.4000518538,,,0.0051853772,,,,0.8711433757,,6.1809696655,0.0051853772,0.0103707545,0.0051853772,0.0103707545,0.0051853772,0.0155561317,,0.0103707545,,0.0103707545,0.0777806585,1.0163339383,0.2229712212,7.243971999,,0.0362976407,,,0.0103707545,0.0207415089,,,,0.0518537724,,0.0103707545,,0.5289084781,7.9439979258,2.7741768214,0.0051853772,0.2696396163,,,0.0051853772,0.0051853772,0.658542909,0.0051853772,0.1711174488,0.0051853772,,0.0051853772,,,0.0259268862,,0.8504018667,,1.8148820327,0.0051853772,,0.0103707545,0.0051853772,,0.2540834846,10.3551983407,0.0051853772,0.0362976407,0.2333419756,,0.0103707545,2.1571169303,0.1348198081,,,0.0207415089,0.0362976407,,0.0674099041,0.0051853772,,0.1400051854,,7.8714026445,,0.0051853772,,0.0051853772,,,,,,,,0.0051853772,,,,,,,,,0.0051853772,0.0051853772,,,0.0051853772,,0.0051853772,,0.0051853772,,,,,,0.1918589577,,,,0.0311122634,,,,,,,,0.0051853772,,,,,,,,,,,0.0051853772,,,,,,,,,,0.0570391496,,,,,0.0051853772,,,,,,,,,,,,,,,,,,,0.0051853772,,,,,,,,,,,,,,0.0051853772,,,,,,,,,,,,,0.0051853772,0.0051853772,,,,,0.0051853772,,,,,0.0051853772,0.0051853772,0.0051853772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,0.2427545207,0.0049541739,,0.0099083478,0.6589051276,,0.0297250433,0.0198166956,0.0346792172,,0.0495417389,,,4.8105028486,,19.6234827842,0.0049541739,,,0.0644042606,0.2526628685,19.3757740897,0.0099083478,1.4812979936,,,0.0049541739,,0.0099083478,,0.9016596483,,5.8508793659,,0.0297250433,,0.0049541739,0.0099083478,0.0198166956,0.0099083478,,0.0049541739,0.0148625217,0.0594500867,1.0304681694,0.272479564,7.4758484023,0.0049541739,0.0594500867,,0.0049541739,,0.0099083478,,,,0.0842209562,0.0049541739,0.0297250433,,0.5400049542,8.080257617,2.9576418132,0.0198166956,0.3913797374,,,0.0049541739,0.0049541739,0.9462472133,0.0099083478,0.1981669557,,,,0.0099083478,,0.0346792172,,0.7827594749,0.0049541739,1.8627693832,,0.0148625217,0.0148625217,,,0.1733960862,9.9331186525,0.0148625217,0.0198166956,0.2873420857,,0.0148625217,2.4424077285,0.1139459995,,,0.0148625217,0.0346792172,0.0049541739,0.0743126084,,,0.1189001734,0.0049541739,7.8275947486,,,0.0049541739,,,0.0049541739,,,,,,0.0099083478,,,0.0049541739,,,,,,0.0049541739,0.0198166956,,,0.0049541739,,0.0148625217,,,,,,,,0.2675253901,,,,0.0346792172,,,0.0049541739,,,0.0099083478,,,,,,,0.0049541739,,,0.0049541739,,,,,,,,,,,,,0.0297250433,,,,,,0.0049541739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0099083478,0.0049541739,,,,,,,,,,,0.0099083478,,0.0049541739,0.0049541739,0.0049541739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0190730498,,0.4577531947,,,,1.2397482357,2.5367156208,,,,,4.8064085447,,,5.9698645813,0.3242418463,5.5121113866,,0.0381460996,,0.171657448,0.4958992943,10.1277894335,0.0190730498,13.9614724394,0.0572191493,,0.0762921991,,0.0381460996,,1.1634560366,,6.2941064276,,0.2098035476,0.0190730498,,0.5912645432,0.0953652489,0.0190730498,0.0190730498,,0.2098035476,0.5340453939,5.2641617395,0.0381460996,7.5910738127,,,,,,,,,,0.438680145,,0.0572191493,,0.8964333397,9.8798397864,2.4413503719,0.0381460996,0.9727255388,,,0.1525843982,,2.4794964715,,1.8310127789,,,,0.0572191493,,,,0.1144382987,,0.1907304978,,,0.0572191493,0.0190730498,,0.0572191493,0.3814609956,,1.3732595842,0.0572191493,0.171657448,0.0190730498,0.1144382987,0.1525843982,0.0190730498,,,,,0.1525843982,0.0190730498,,0.0381460996,,9.3457943925,0.0190730498,0.0190730498,,,,0.0381460996,,,,,,,,,0.0953652489,,,,,,,,,,,,0.0572191493,,,,0.0381460996,,,,0.0190730498,,,,0.0381460996,0.0381460996,,,,,,,,,,,0.0190730498,0.0381460996,,,,,,,,,,,,,,,,,,,,,,0.0190730498,,,,,,,0.0190730498,,,,,,,,,,,,,,,,,,,,,,,,,0.0190730498,,,,,,,,,,,,,,,,,,,,,,0.0190730498,,,,,,,,0.0190730498,0.0190730498,0.0190730498,0.0190730498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,0.447177194,,0.0558971492,,1.3787963481,2.5340040991,,,,,5.4220234768,,,5.7760387554,0.2981181293,5.4033910937,,0.0186323831,,0.1304266816,0.5403391094,9.2230296255,0.0558971492,12.3719023663,0.0186323831,,0.0372647662,,,,0.9688839203,0.0186323831,6.6517607602,,0.1863238308,,0.0186323831,1.0061486864,,0.0186323831,0.0372647662,,0.1117942985,0.689398174,4.8071548351,0.0186323831,7.8256008944,,,,,0.1304266816,,,,0.0745295323,0.3353828955,,,,0.689398174,9.5025153717,2.515371716,,1.0993106018,,,0.0558971492,0.0186323831,2.3104155021,,1.825973542,0.0558971492,,,0.0372647662,,,,0.2981181293,0.0186323831,0.3167505124,,,0.1117942985,0.0186323831,,0.0372647662,0.447177194,,1.4346934973,0.1676914477,0.0931619154,,0.0745295323,0.2794857462,0.0558971492,,0.0186323831,,,0.223588597,0.0186323831,,0.0186323831,,11.1794298491,0.0186323831,0.0558971492,,,,,,,,,,,,,0.0745295323,0.0186323831,,,,,0.0186323831,,,,,,0.0186323831,,,,,,0.0186323831,,,,,,0.0186323831,0.0186323831,,,,,,,,,,,,,,,0.0186323831,,,,0.0186323831,,,,,,,,,0.0186323831,,,,,0.0186323831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0372647662,,,,,,,,,,,,,,,0.0186323831,,,,,,,,,,,,,,,,,,,,,,0.0186323831,0.0186323831,0.0186323831,0.0186323831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,0.0145613396,0.7717510011,,0.0436840189,0.0145613396,1.3760465963,0.2985074627,0.0364033491,0.0218420095,0.0364033491,0.0072806698,0.080087368,,,5.7371678194,,26.3341827448,0.0072806698,0.0145613396,,0.1892974154,0.1092100473,4.1863851474,0.0072806698,3.509282854,0.0145613396,0.0218420095,0.0291226793,0.0072806698,0.0145613396,,0.8955223881,,3.2180560612,0.0072806698,0.6989443029,0.0145613396,0.1019293775,,,0.6188569348,,,0.0291226793,0.3130688023,1.9657808518,0.7280669822,3.2690207499,,0.0072806698,,,0.0436840189,0.0072806698,,,,0.0655260284,,0.1019293775,1.3833272661,7.877684747,1.4415726247,1.9949035311,,1.5435020022,,0.0072806698,0.1019293775,0.0072806698,2.0385875501,0.0145613396,1.1721878413,,,,0.0072806698,,0.3567528213,0.0145613396,2.5409537677,0.0436840189,2.6064797961,,,0.0145613396,0.0218420095,0.0072806698,0.1310520568,0.1019293775,,0.0072806698,0.3494721514,0.4222788497,0.0436840189,2.9996359665,0.1019293775,,0.0291226793,0.0364033491,,,0.0072806698,,0.0072806698,0.0509646888,,15.2748452858,,,0.0072806698,,0.0072806698,0.0582453586,0.0145613396,,0.0072806698,,0.0218420095,,,0.0072806698,0.080087368,0.0072806698,,,,1.6163087004,0.0072806698,0.0072806698,,,,0.0218420095,,,,,0.0072806698,,0.0072806698,,,,,0.0072806698,,,,,,0.0072806698,0.0072806698,,,0.0072806698,,,,,,,0.0145613396,,0.0072806698,,,,,,0.0728066982,,,,0.0072806698,0.0728066982,,,,,,0.0291226793,0.0072806698,,0.0145613396,,,,,0.0072806698,0.0072806698,0.0218420095,,,,,,,,,,,,,0.0145613396,,0.0072806698,,,,,,,,,,,,0.0072806698,0.0072806698,,,,,,,0.0145613396,0.0072806698,,,,,,,,,,,,,,,,,,,,,,0.0072806698,0.0072806698,0.0072806698,0.0072806698,0.0072806698,0.0072806698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,0.0069725282,0.8576209734,,0.027890113,0.0209175847,0.9900990099,0.3834890531,0.0348626412,0.0209175847,0.0209175847,0.0139450565,0.0418351694,,,5.6756379863,,27.0464370381,0.0139450565,0.0348626412,0.0069725282,0.2300934319,0.1115604518,3.9464509831,,3.7442476642,0.0418351694,0.0069725282,0.0139450565,0.0139450565,0.0069725282,,0.906428671,0.0069725282,3.0121321991,0.0069725282,0.6484451262,0.0906428671,0.0836703389,0.0069725282,,0.5020220332,,0.0069725282,0.027890113,0.2300934319,1.7431320597,0.467159392,2.9702970297,,0.0209175847,,0.0069725282,0.0139450565,0.027890113,,,0.0069725282,0.0418351694,,0.0627527541,1.3875331195,8.2903360759,1.4502858737,1.9592804351,,1.2829451959,0.0209175847,,0.0976153953,0.0069725282,2.0568958304,0.0348626412,0.9900990099,,,,,,0.2231209036,0.0418351694,2.9912146144,0.0488076977,2.6635057872,,,0.0627527541,0.1185329801,0.0069725282,0.1812857342,0.1185329801,,0.0139450565,0.3904615814,0.4253242226,0.027890113,2.7053409566,0.0906428671,,0.0139450565,0.0627527541,,0.0069725282,0.0348626412,,0.0069725282,0.0697252824,,15.5557105006,,,0.0139450565,,,0.0348626412,0.0069725282,,,0.0069725282,,,,,0.0557802259,0.0069725282,,,,1.7152419467,0.0139450565,0.0069725282,,,,0.0069725282,,,,,0.0418351694,0.0069725282,0.027890113,,,,,0.0069725282,0.027890113,,0.0069725282,0.0069725282,,0.0209175847,,0.0069725282,,,0.0069725282,,,,,,0.027890113,,0.0069725282,,,,,,0.0418351694,,,,,0.0348626412,0.0139450565,,,,0.0139450565,0.027890113,,,,,,,,,,0.0209175847,,,,,,,,,,,,,0.027890113,,,,,,,,,,,,,,0.0069725282,,,,,,,0.0139450565,,,,,,,,,,,,,,,,,,,,0.0139450565,,,,0.0069725282,,,,,,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,0.0069725282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.007479991,,0.2169197397,,0.0224399731,0.1645598025,0.0747999102,0.0448799461,0.014959982,0.1196798564,,,0.0972398833,0.007479991,,2.5132769841,0.007479991,19.0216171741,,0.0299199641,,0.1645598025,0.2543196948,1.3314384023,,3.418355898,,,0.007479991,,0.014959982,,0.8452389857,,1.4959982048,0.0299199641,0.0448799461,0.014959982,0.0448799461,0.0373999551,0.014959982,0.007479991,,,0.1645598025,0.014959982,3.4707158351,0.5609993268,2.2664372803,0.014959982,0.0448799461,,0.0224399731,0.2692796769,0.299199641,,0.007479991,0.0299199641,6.5674321191,,0.014959982,0.014959982,6.4327922806,7.173311392,1.4137183035,,0.0523599372,0.007479991,0.007479991,0.007479991,,1.1593986087,0.628319246,0.4787194255,,,,0.0299199641,,0.0299199641,0.007479991,6.9264716882,,23.6666916,0.014959982,0.007479991,,0.007479991,,0.0747999102,0.0598399282,,0.1271598474,0.1047198743,,0.007479991,0.1047198743,0.1121998654,0.014959982,0.014959982,,,0.007479991,0.1869997756,,,0.014959982,,6.859151769,0.007479991,0.007479991,,,,0.007479991,0.007479991,0.0224399731,,,,0.1720397936,,,0.014959982,,,0.0299199641,,0.014959982,,0.007479991,,,0.007479991,,,,,,,,,,,,,,0.007479991,,0.007479991,,,,,0.007479991,,,,,,,,,0.014959982,0.007479991,,,,,,,,,,,0.007479991,0.007479991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007479991,0.007479991,,0.007479991,,,,,,,,,,,,0.007479991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007479991,0.007479991,0.007479991,0.007479991,0.007479991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0125952516,,0.0671746751,,0.020992086,0.010496043,0.3820559649,0.0020992086,0.0482817978,0.0041984172,0.0545794236,0.7494174696,,,,0.8312866049,0.031488129,32.9911623318,0.0062976258,0.0062976258,,0.3631630875,0.4555282658,6.0079350085,,1.8871885299,0.0167936688,3.1404160631,0.0041984172,0.0020992086,0.0020992086,,0.6738459601,0.0020992086,0.2519050318,,0.4366353885,0.203623234,,0.0041984172,0.0020992086,0.1910279825,,,0.041984172,0.031488129,3.8982303672,0.5206037324,1.3917753007,0.0020992086,0.052480215,,0.0041984172,,0.0146944602,,,0.0776707181,0.020992086,0.1175556815,0.020992086,0.0272897118,0.3316749585,2.0761173038,0.4870163948,,0.0335873376,,0.0020992086,0.0755715095,,0.2812939522,0.0041984172,0.5185045238,0.0881667611,,,0.0293889204,,,0.0020992086,0.8228897706,,3.1782018179,,0.0020992086,,0.0062976258,0.0020992086,0.2854923694,0.1700358965,,0.8816676113,0.1406469761,0.0041984172,0.0062976258,0.7032348805,0.0503810064,0.0041984172,1.8011209774,11.7366752734,,0.0020992086,0.2372105716,0.0125952516,0.0020992086,0.1238533073,,13.6385582635,0.0041984172,0.010496043,0.0020992086,,0.2372105716,0.0041984172,,,,,,0.0020992086,,,0.0986628041,0.5038100636,,,,0.0020992086,0.0020992086,,,,,2.1411927703,0.0146944602,,,,,,0.010496043,,,,0.0062976258,0.0041984172,0.0041984172,,0.0020992086,,,0.0020992086,,,,,,,,0.0083968344,0.0125952516,,1.9060814073,0.757814304,0.0041984172,,,,0.0020992086,0.0083968344,,,,,0.0020992086,,,,,,,0.0041984172,,,,,0.0020992086,0.0020992086,,,,,,,,0.2477066146,,,,0.0041984172,,,,0.0062976258,,,,,,,,,,,,,,,,0.0020992086,,,,,,,,,,,,,,0.0041984172,,,,,,,0.0377857548,,,,0.1070596385,,,,0.0020992086,0.4051472595,,,,,,,,,,,,,,,,,,,,,0.0020992086,0.0020992086,0.0020992086,0.0020992086,0.0020992086,0.1091588471,0.0272897118,0.0020992086,0.0125952516,0.0020992086,0.0020992086,0.0020992086,0.0377857548,0.1280517245,0.0020992086,0.0020992086,0.0062976258,0.0020992086,0.0020992086,0.0041984172,0.203623234,0.0020992086,0.0041984172,0.0293889204,0.0020992086,,,,,,,,,,,,,,,,,,,,,,
